ticker,mentions,posts_found,total_signals,skipped_too_short,bullish_count,bearish_count,neutral_count,bullish_pct,bearish_pct,neutral_pct,total_pos_hits,total_neg_hits,total_tokens,avg_sentiment_score,corpus_sentiment_score,overall_sentiment
AKTS,131,131,129,2,58,47,24,45.0,36.4,18.6,976,910,49880,0.00817,0.001323,bullish
BBAI,57,57,56,1,30,8,18,53.6,14.3,32.1,212,141,10566,0.010785,0.00672,bullish
BIG,95,95,94,1,53,26,15,56.4,27.7,16.0,950,678,44346,0.00609,0.006134,bullish
CRKN,83,83,66,17,25,13,28,37.9,19.7,42.4,153,103,5679,0.012071,0.008804,bullish
CTM,124,124,122,2,63,16,43,51.6,13.1,35.2,466,190,20794,0.012242,0.013273,bullish
EVA,78,78,73,5,30,22,21,41.1,30.1,28.8,109,84,4995,0.002434,0.005005,bullish
FFIE,239,239,229,10,70,41,118,30.6,17.9,51.5,384,310,16008,0.008971,0.004623,bullish
GWAV,74,74,69,5,32,5,32,46.4,7.2,46.4,178,73,5263,0.022406,0.019951,bullish
ICU,89,89,88,1,29,24,35,33.0,27.3,39.8,187,174,11739,0.003722,0.001107,bullish
JAGX,59,59,53,6,25,11,17,47.2,20.8,32.1,220,136,7250,0.020939,0.011586,bullish
KULR,429,429,409,20,201,74,134,49.1,18.1,32.8,1491,829,54776,0.011333,0.012086,bullish
LODE,147,147,143,4,65,26,52,45.5,18.2,36.4,360,184,12973,0.011088,0.013567,bullish
MIMO,51,51,50,1,27,20,3,54.0,40.0,6.0,690,589,35070,0.006282,0.00288,bullish
MVST,53,53,51,2,37,6,8,72.5,11.8,15.7,430,164,11372,0.026191,0.023391,bullish
OCGN,60,60,59,1,21,21,17,35.6,35.6,28.8,271,262,17251,0.00234,0.000522,neutral
OPTT,194,194,184,10,89,29,66,48.4,15.8,35.9,540,345,20310,0.015794,0.009601,bullish
OSTX,53,53,53,0,40,3,10,75.5,5.7,18.9,444,192,17285,0.016294,0.014579,bullish
PEGY,46,46,43,3,15,3,25,34.9,7.0,58.1,65,24,1857,0.028689,0.022079,bullish
PRSO,48,48,48,0,42,1,5,87.5,2.1,10.4,264,120,9185,0.027703,0.015678,bullish
RCAT,69,69,69,0,45,11,13,65.2,15.9,18.8,514,338,20207,0.01529,0.00871,bullish
RGTI,63,63,59,4,32,10,17,54.2,16.9,28.8,199,93,8220,0.008773,0.012895,bullish
RNXT,52,52,52,0,41,7,4,78.8,13.5,7.7,609,297,23552,0.013967,0.013247,bullish
RR,48,48,47,1,21,16,10,44.7,34.0,21.3,214,156,9116,0.00329,0.006362,bullish
SLS,45,45,45,0,20,15,10,44.4,33.3,22.2,324,344,20985,0.002923,-0.000953,bullish
TNXP,72,72,71,1,35,14,22,49.3,19.7,31.0,220,165,10951,0.014852,0.005022,bullish
